Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
11482, -0.328, 0.224, -0.932, -0.140, 0.476, -1.132
11516, -0.332, 0.220, -0.924, -0.148, 0.476, -1.120
11552, -0.328, 0.220, -0.932, -0.148, 0.476, -1.116
11587, -0.332, 0.224, -0.932, -0.144, 0.480, -1.116
11623, -0.332, 0.220, -0.928, -0.152, 0.472, -1.120
11658, -0.328, 0.220, -0.932, -0.152, 0.472, -1.116
11692, -0.332, 0.224, -0.928, -0.148, 0.480, -1.120
11728, -0.328, 0.220, -0.936, -0.148, 0.476, -1.120
11763, -0.328, 0.220, -0.936, -0.148, 0.476, -1.124
11799, -0.332, 0.224, -0.936, -0.148, 0.480, -1.116
11834, -0.332, 0.224, -0.928, -0.136, 0.484, -1.124
11870, -0.328, 0.220, -0.928, -0.144, 0.484, -1.128
11904, -0.332, 0.224, -0.932, -0.140, 0.484, -1.120
11939, -0.332, 0.220, -0.928, -0.148, 0.476, -1.112
11975, -0.332, 0.224, -0.932, -0.140, 0.480, -1.120
12010, -0.328, 0.224, -0.932, -0.148, 0.476, -1.124
12046, -0.332, 0.224, -0.936, -0.156, 0.476, -1.108
12081, -0.328, 0.220, -0.936, -0.148, 0.472, -1.132
12116, -0.332, 0.224, -0.932, -0.148, 0.480, -1.120
12151, -0.332, 0.220, -0.936, -0.148, 0.476, -1.124
12186, -0.332, 0.220, -0.940, -0.148, 0.472, -1.116
12222, -0.332, 0.224, -0.932, -0.140, 0.476, -1.124
12257, -0.332, 0.224, -0.932, -0.152, 0.472, -1.116
12293, -0.328, 0.220, -0.932, -0.144, 0.476, -1.116
12327, -0.332, 0.224, -0.936, -0.152, 0.472, -1.116
12363, -0.328, 0.220, -0.932, -0.148, 0.472, -1.132
12398, -0.332, 0.220, -0.932, -0.144, 0.484, -1.116
12433, -0.328, 0.220, -0.928, -0.140, 0.476, -1.116
12469, -0.328, 0.220, -0.932, -0.148, 0.472, -1.124
12503, -0.332, 0.224, -0.928, -0.144, 0.484, -1.112
12539, -0.328, 0.224, -0.936, -0.144, 0.488, -1.112
12574, -0.332, 0.224, -0.936, -0.144, 0.476, -1.108
12610, -0.328, 0.224, -0.928, -0.148, 0.472, -1.116
12645, -0.328, 0.220, -0.932, -0.144, 0.480, -1.120
12680, -0.328, 0.220, -0.928, -0.144, 0.476, -1.120
12715, -0.328, 0.220, -0.936, -0.144, 0.480, -1.120
