Timestamp (ms), S1_X_g, S1_Y_g, S1_Z_g, S2_X_g, S2_Y_g, S2_Z_g
10493, -0.332, 0.164, -0.944, -0.136, 0.408, -1.144
10529, -0.332, 0.164, -0.944, -0.132, 0.412, -1.152
10564, -0.332, 0.168, -0.944, -0.136, 0.408, -1.140
10599, -0.328, 0.168, -0.944, -0.136, 0.400, -1.136
10635, -0.336, 0.168, -0.940, -0.128, 0.408, -1.140
10669, -0.328, 0.168, -0.944, -0.144, 0.396, -1.144
10705, -0.332, 0.164, -0.944, -0.144, 0.396, -1.120
10740, -0.328, 0.164, -0.944, -0.132, 0.412, -1.144
10776, -0.332, 0.164, -0.948, -0.140, 0.408, -1.132
10811, -0.328, 0.168, -0.944, -0.132, 0.408, -1.144
10846, -0.332, 0.168, -0.940, -0.140, 0.404, -1.124
10881, -0.332, 0.168, -0.944, -0.140, 0.404, -1.144
10916, -0.332, 0.168, -0.940, -0.132, 0.404, -1.136
10952, -0.332, 0.164, -0.944, -0.132, 0.408, -1.140
10987, -0.332, 0.164, -0.940, -0.136, 0.400, -1.136
11023, -0.332, 0.168, -0.944, -0.136, 0.404, -1.140
11058, -0.332, 0.168, -0.940, -0.136, 0.404, -1.144
11092, -0.328, 0.164, -0.944, -0.136, 0.404, -1.132
11128, -0.328, 0.160, -0.944, -0.136, 0.404, -1.140
11163, -0.332, 0.164, -0.940, -0.132, 0.404, -1.144
11199, -0.332, 0.164, -0.944, -0.140, 0.404, -1.144
11234, -0.332, 0.164, -0.940, -0.136, 0.404, -1.148
11269, -0.332, 0.164, -0.944, -0.136, 0.400, -1.148
11304, -0.332, 0.164, -0.944, -0.136, 0.404, -1.136
11339, -0.328, 0.168, -0.940, -0.136, 0.404, -1.140
11375, -0.332, 0.164, -0.944, -0.136, 0.408, -1.136
11410, -0.332, 0.164, -0.944, -0.144, 0.408, -1.132
11446, -0.336, 0.168, -0.944, -0.136, 0.400, -1.148
11480, -0.332, 0.164, -0.948, -0.144, 0.396, -1.128
11515, -0.332, 0.168, -0.948, -0.132, 0.408, -1.140
11551, -0.332, 0.164, -0.940, -0.136, 0.404, -1.136
11586, -0.332, 0.164, -0.944, -0.140, 0.400, -1.136
11622, -0.328, 0.168, -0.944, -0.136, 0.404, -1.144
11657, -0.336, 0.164, -0.944, -0.132, 0.404, -1.144
11692, -0.328, 0.164, -0.940, -0.136, 0.404, -1.144
11727, -0.336, 0.168, -0.944, -0.140, 0.392, -1.136
11762, -0.332, 0.168, -0.944, -0.132, 0.404, -1.160
11798, -0.336, 0.168, -0.944, -0.136, 0.404, -1.140
11833, -0.332, 0.164, -0.944, -0.136, 0.400, -1.144
11869, -0.336, 0.168, -0.936, -0.140, 0.400, -1.148
11903, -0.336, 0.164, -0.944, -0.128, 0.412, -1.136
11939, -0.328, 0.168, -0.944, -0.132, 0.408, -1.132
11974, -0.328, 0.168, -0.940, -0.132, 0.404, -1.148
12009, -0.336, 0.168, -0.940, -0.144, 0.404, -1.140
12045, -0.332, 0.172, -0.944, -0.136, 0.400, -1.136
12080, -0.328, 0.168, -0.940, -0.132, 0.400, -1.152
12115, -0.336, 0.164, -0.944, -0.132, 0.408, -1.152
12150, -0.336, 0.164, -0.944, -0.140, 0.404, -1.148
12185, -0.332, 0.168, -0.940, -0.132, 0.404, -1.140
12221, -0.332, 0.168, -0.944, -0.136, 0.404, -1.144
